# 17 stars found using the following parameters:
# sigma=1.00 roundness=0.50 radius=5 relax=0 profile=0 minbeta=1.5 max_stars=2000 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Profile	RA	Dec
1	1	135.594426	246.500313	     -1.00	   2280.61	   1541.95	     14.56	      8.88	     -1.00	     -1.00	8.59	 1.894e+01	    -12.55	Gaussian	0.000000	0.000000
2	1	147.346799	-32.546946	     -1.00	   1280.33	    876.76	     17.77	     13.01	     -1.00	     -1.00	0.88	 5.044e+01	    -11.28	Gaussian	0.000000	0.000000
3	1	 54.228609	142.810279	     -1.00	     46.27	   1345.17	     10.54	     10.54	     -1.00	     -1.00	-67.50	 2.354e+01	    -10.64	Gaussian	0.000000	0.000000
4	1	 19.378223	222.087246	     -1.00	   1985.75	   2158.16	      8.97	      7.26	     -1.00	     -1.00	63.48	 1.955e+01	    -10.54	Gaussian	0.000000	0.000000
5	1	139.004046	2643.852376	     -1.00	   1938.77	   1042.97	      5.18	      2.68	     -1.00	     -1.00	37.03	 2.687e+01	    -10.05	Gaussian	0.000000	0.000000
6	1	 33.990432	177.830609	     -1.00	   1399.16	   1340.91	      6.29	      6.29	     -1.00	     -1.00	11.39	 3.017e+01	     -9.75	Gaussian	0.000000	0.000000
7	1	 91.732032	187.996947	     -1.00	   2926.56	   1589.06	      6.97	      3.67	     -1.00	     -1.00	14.67	 3.649e+01	     -9.39	Gaussian	0.000000	0.000000
8	1	 82.446400	191.569485	     -1.00	   2355.68	   1355.77	      3.62	      3.40	     -1.00	     -1.00	50.21	 5.063e+01	     -9.38	Gaussian	0.000000	0.000000
9	1	125.094020	536.485484	     -1.00	   2102.88	   1393.30	      3.57	      2.35	     -1.00	     -1.00	-32.95	 3.038e+01	     -9.36	Gaussian	0.000000	0.000000
10	1	 76.491671	176.692639	     -1.00	   2345.51	   1396.27	      6.36	      4.27	     -1.00	     -1.00	89.27	 4.116e+01	     -9.34	Gaussian	0.000000	0.000000
11	1	125.366741	210.021691	     -1.00	   2107.31	   1383.95	      4.62	      2.51	     -1.00	     -1.00	-26.08	 4.572e+01	     -8.83	Gaussian	0.000000	0.000000
12	1	115.016831	185.803398	     -1.00	   1731.90	   1245.98	      4.03	      2.86	     -1.00	     -1.00	-59.72	 5.760e+01	     -8.81	Gaussian	0.000000	0.000000
13	1	106.011667	307.718027	     -1.00	   2304.04	   1309.03	      3.86	      2.58	     -1.00	     -1.00	-85.93	 6.989e+01	     -8.68	Gaussian	0.000000	0.000000
14	1	 54.941447	188.439731	     -1.00	   2125.16	   1501.89	      2.88	      2.60	     -1.00	     -1.00	33.35	 3.321e+01	     -8.41	Gaussian	0.000000	0.000000
15	1	127.705050	194.089606	     -1.00	   2114.03	   1367.07	      3.78	      2.58	     -1.00	     -1.00	-39.31	 4.115e+01	     -8.38	Gaussian	0.000000	0.000000
16	1	103.721689	163.231097	     -1.00	   2221.93	   1313.60	      2.78	      2.10	     -1.00	     -1.00	13.55	 5.164e+01	     -7.90	Gaussian	0.000000	0.000000
17	1	112.928589	135.351639	     -1.00	   3021.84	   1183.91	      3.67	      1.96	     -1.00	     -1.00	82.99	 2.131e+01	     -7.61	Gaussian	0.000000	0.000000
