frame,sec_elapsed,frontwheel_x,frontwheel_y,frontwheel_r,frontfender_x,frontfender_y,rearwheel_x,rearwheel_y,rearwheel_r,rearfender_x,rearfender_y
0,0,0,0,0,0,0,0,0,0,0,0
1,0.01668335,0,0,0,0,0,0,0,0,0,0
2,0.0333667,0,0,0,0,0,0,0,0,0,0
3,0.05005005,0,0,0,0,0,0,0,0,0,0
4,0.0667334,0,0,0,0,0,0,0,0,0,0
5,0.08341675,0,0,0,0,0,0,0,0,0,0
6,0.1001001,0,0,0,0,0,0,0,0,0,0
7,0.11678345,0,0,0,0,0,0,0,0,0,0
8,0.1334668,0,0,0,0,0,0,0,0,0,0
9,0.15015015,0,0,0,0,0,0,0,0,0,0
10,0.1668335,0,0,0,0,0,0,0,0,0,0
11,0.18351685,0,0,0,0,0,0,0,0,0,0
12,0.2002002,0,0,0,0,0,0,0,0,0,0
13,0.21688355,0,0,0,0,0,0,0,0,0,0
14,0.2335669,0,0,0,0,0,0,0,0,0,0
15,0.25025025,0,0,0,0,0,0,0,0,0,0
16,0.2669336,0,0,0,0,0,0,0,0,0,0
17,0.28361695,0,0,0,0,0,0,0,0,0,0
18,0.3003003,0,0,0,0,0,0,0,0,0,0
19,0.31698365,0,0,0,0,0,0,0,0,0,0
20,0.333667,0,0,0,0,0,0,0,0,0,0
21,0.35035035,0,0,0,0,0,0,0,0,0,0
22,0.3670337,0,0,0,0,0,0,0,0,0,0
23,0.38371705,0,0,0,0,0,0,0,0,0,0
24,0.4004004,0,0,0,0,0,0,0,0,0,0
25,0.41708375,0,0,0,0,0,0,0,0,0,0
26,0.4337671,0,0,0,0,0,0,0,0,0,0
27,0.45045045,0,0,0,0,0,0,0,0,0,0
28,0.4671338,0,0,0,0,0,0,0,0,0,0
29,0.48381715,0,0,0,0,0,0,0,0,0,0
30,0.500500501,0,0,0,0,0,0,0,0,0,0
31,0.517183851,0,0,0,0,0,0,0,0,0,0
32,0.533867201,0,0,0,0,0,0,0,0,0,0
33,0.550550551,0,0,0,0,0,0,0,0,0,0
34,0.567233901,0,0,0,0,0,0,0,0,0,0
35,0.583917251,0,0,0,0,0,0,0,0,0,0
36,0.600600601,0,0,0,0,0,0,0,0,0,0
37,0.617283951,0,0,0,0,0,0,0,0,0,0
38,0.633967301,0,0,0,0,0,0,0,0,0,0
39,0.650650651,0,0,0,0,0,0,0,0,0,0
40,0.667334001,0,0,0,0,0,0,0,0,0,0
41,0.684017351,0,0,0,0,0,0,0,0,0,0
42,0.700700701,0,0,0,0,0,0,0,0,0,0
43,0.717384051,0,0,0,0,0,0,0,0,0,0
44,0.734067401,0,0,0,0,0,0,0,0,0,0
45,0.750750751,0,0,0,0,0,0,0,0,0,0
46,0.767434101,0,0,0,0,0,0,0,0,0,0
47,0.784117451,0,0,0,0,0,0,0,0,0,0
48,0.800800801,0,0,0,0,0,0,0,0,0,0
49,0.817484151,0,0,0,0,0,0,0,0,0,0
50,0.834167501,0,0,0,0,0,0,0,0,0,0
51,0.850850851,0,0,0,0,0,0,0,0,0,0
52,0.867534201,0,0,0,0,0,0,0,0,0,0
53,0.884217551,0,0,0,0,0,0,0,0,0,0
54,0.900900901,0,0,0,0,0,0,0,0,0,0
55,0.917584251,0,0,0,0,0,0,0,0,0,0
56,0.934267601,0,0,0,0,0,0,0,0,0,0
57,0.950950951,0,0,0,0,0,0,0,0,0,0
58,0.967634301,0,0,0,0,0,0,0,0,0,0
59,0.984317651,0,0,0,0,0,0,0,0,0,0
60,1.001001001,0,0,0,0,0,0,0,0,0,0
61,1.017684351,0,0,0,0,0,0,0,0,0,0
62,1.034367701,0,0,0,0,0,0,0,0,0,0
63,1.051051051,0,0,0,0,0,0,0,0,0,0
64,1.067734401,0,0,0,0,0,0,0,0,0,0
65,1.084417751,0,0,0,0,0,0,0,0,0,0
66,1.101101101,0,0,0,0,0,0,0,0,0,0
67,1.117784451,0,0,0,0,0,0,0,0,0,0
68,1.134467801,0,0,0,0,0,0,0,0,0,0
69,1.151151151,0,0,0,0,0,0,0,0,0,0
70,1.167834501,0,0,0,0,0,0,0,0,0,0
71,1.184517851,0,0,0,0,0,0,0,0,0,0
72,1.201201201,0,0,0,0,0,0,0,0,0,0
73,1.217884551,0,0,0,0,0,0,0,0,0,0
74,1.234567901,0,0,0,0,0,0,0,0,0,0
75,1.251251251,0,0,0,0,0,0,0,0,0,0
76,1.267934601,0,0,0,0,0,0,0,0,0,0
77,1.284617951,0,0,0,0,0,0,0,0,0,0
78,1.301301301,0,0,0,0,0,0,0,0,0,0
