distance (mm),t1,t2,t3
0,0.012333359,0.004348757,0.00392129
0.009,0.012190777,0.005489414,0.006559248
0.019,0.023098314,0.015969205,0.016754601
0.029,0.029728386,0.017323736,0.012262942
0.039,0.038069444,0.019890215,0.011264795
0.049,0.049761183,0.02345477,0.00969628
0.059,0.060953885,0.024595427,0.008626837
0.069,0.07300208,0.029799677,0.012334238
0.079,0.087402881,0.032223574,0.014473123
0.089,0.102587884,0.034362307,0.014758308
0.099,0.11927,0.033435523,0.013189792
0.109,0.134882749,0.03457618,0.013261088
0.119,0.152848105,0.038924937,0.011906461
0.129,0.170884751,0.043344985,0.011621276
0.139,0.190489802,0.049048272,0.010908315
0.149,0.208740322,0.056248673,0.011407388
0.159,0.2281315,0.064946186,0.010337945
0.169,0.247879133,0.074499193,0.008056468
0.179,0.268910005,0.084408655,0.007557394
0.189,0.288229892,0.096742014,0.006274063
0.199,0.305767501,0.108932791,0.007913875
0.209,0.325871589,0.12254939,0.008127764
0.219,0.346902462,0.1368789,0.010480538
0.229,0.366863968,0.15320456,0.011906461
0.239,0.386682892,0.169886676,0.010694426
0.249,0.407642473,0.18578459,0.011621276
0.259,0.426819778,0.201896377,0.011977757
0.269,0.446852575,0.220004315,0.013760162
0.279,0.469095396,0.236401267,0.014829604
0.289,0.489841104,0.253297256,0.015399974
0.299,0.511014559,0.269979372,0.017966636
0.309,0.531047357,0.28680407,0.019321263
0.319,0.551935647,0.302202946,0.021887925
0.329,0.573822013,0.318314733,0.023028664
0.339,0.596991618,0.333428445,0.025167549
0.349,0.618806693,0.34747279,0.029374024
0.359,0.639766274,0.362586502,0.031726797
0.369,0.661723931,0.374634697,0.034079571
0.379,0.684964828,0.387467094,0.035648087
0.389,0.706566029,0.40158273,0.035291606
0.399,0.728951432,0.41327447,0.036717529
0.409,0.752049747,0.424253298,0.03857123
0.419,0.776431301,0.434946962,0.042064742
0.429,0.798602831,0.447351613,0.047483252
0.439,0.821130817,0.460255301,0.05161843
0.449,0.845155915,0.472160913,0.056609162
0.459,0.86960876,0.48563493,0.060459155
0.469,0.892707075,0.501247679,0.065378591
0.479,0.915377642,0.517003011,0.070654508
0.489,0.939545323,0.530690901,0.074361909
0.499,0.965637863,0.544877829,0.073149874
0.509,0.988094558,0.559064756,0.075288759
0.519,1.00912543,0.575461708,0.082489673
0.529,1.031225669,0.588721851,0.089476698
0.539,1.054965604,0.601839412,0.096463723
0.549,1.076424223,0.617452162,0.104092414
0.559,1.098880917,0.632352001,0.111222031
0.569,1.124046673,0.64532698,0.114002582
0.579,1.15120858,0.658872287,0.118066464
0.589,1.177229829,0.676695061,0.123484973
0.599,1.204748191,0.691523608,0.130186813
0.609,1.236472728,0.703856967,0.135676618
0.619,1.270692453,0.716546782,0.138528465
0.629,1.302060534,0.730234672,0.142948828
0.639,1.333428615,0.744706764,0.150506223
0.649,1.36372733,0.755828175,0.155996028
0.659,1.392956678,0.764882144,0.160701575
0.669,1.424396051,0.774221277,0.161628426
0.679,1.45305507,0.783988157,0.166476565
0.689,1.482926039,0.79396891,0.175388587
0.699,1.512012805,0.80309417,0.180593208
0.709,1.53974504,0.813573961,0.184229313
0.719,1.567691149,0.822984385,0.188364491
0.729,1.596991788,0.831396734,0.194139481
0.739,1.62771825,0.839880374,0.20347928
0.749,1.656020814,0.850003709,0.212676486
0.759,1.686747275,0.859271552,0.223370912
0.769,1.718257939,0.866543243,0.229359791
0.779,1.75354703,0.873387188,0.227791275
0.789,1.786911262,0.881015335,0.220305177
0.799,1.817922888,0.888999938,0.21780981
0.809,1.850502917,0.896271629,0.219734807
0.819,1.886362338,0.903543321,0.224012578
0.829,1.91844333,0.911171468,0.22843294
0.839,1.949312373,0.91851445,0.226151463
0.849,1.98167853,0.919726399,0.210680193
0.859,2.015898255,0.920938348,0.204334834
0.869,2.048050538,0.923647409,0.212106117
0.879,2.080915732,0.92564356,0.228718125
0.889,2.114565128,0.926071306,0.253386601
0.899,2.148856144,0.926356471,0.285184695
0.909,2.180152934,0.926855508,0.325110552
0.919,2.213731039,0.926213889,0.370454918
0.929,2.249020131,0.920368019,0.417866874
0.939,2.286447955,0.913880529,0.466348272
0.949,2.321380591,0.91131405,0.516825963
0.959,2.357026138,0.907606913,0.567446246
0.969,2.395951075,0.902260081,0.617638752
0.979,2.434947303,0.892992239,0.669328478
0.989,2.471020596,0.880231133,0.720305242
0.999,2.505596777,0.868895849,0.76115795
1.009,2.541741361,0.859414134,0.797946775
1.019,2.57617496,0.854067302,0.84165133
1.029,2.607186585,0.850217583,0.888279027
1.039,2.64012307,0.846938192,0.922216006
1.049,2.673843758,0.841662651,0.925281741
1.059,2.709061558,0.838668426,0.941965046
1.069,2.74242579,0.83503258,0.986596451
1.079,2.7743642,0.828972837,1.045130609
1.089,2.805874863,0.821772436,1.111792531
1.099,2.840165879,0.815213656,1.180735931
1.109,2.870535885,0.807799382,1.247326557
1.119,2.898196829,0.800741564,1.312348668
1.129,2.92692714,0.789121115,1.376657816
1.139,2.96079041,0.779140362,1.448096582
1.149,2.992229782,0.773650948,1.520961272
1.159,3.023170117,0.769017027,1.591829668
1.169,3.055607564,0.761674044,1.659774922
1.179,3.091039238,0.756612377,1.725082217
1.189,3.12376185,0.755828175,1.791316362
1.199,3.15441702,0.757325288,1.858049581
1.209,3.186783176,0.760034349,1.920576325
1.219,3.223141634,0.765024726,1.976686414
1.229,3.256078119,0.771013178,2.024811331
1.239,3.286804581,0.77700163,2.072365879
1.249,3.321737217,0.780423602,2.137530581
1.259,3.35716889,0.788479496,2.20761472
1.269,3.388608263,0.797604756,2.264794251
1.279,3.419120851,0.80373579,2.300656227
1.289,3.451415716,0.807229053,2.296164568
1.299,3.485706732,0.808868748,2.260587777
1.309,3.516575776,0.808654875,2.246471135
1.319,3.546803199,0.809082622,2.211536009
1.329,3.580595178,0.809439077,2.179381435
1.339,3.613816827,0.808512293,2.224868394
1.349,3.644828453,0.808797457,2.31213491
1.359,3.674485548,0.809581659,2.383431084
1.369,3.705425883,0.811649101,2.350848733
1.379,3.736366217,0.816496895,2.12077598
1.389,3.768019463,0.82334084,1.731570169
1.399,3.797106229,0.829614457,1.471267839
1.409,3.827333653,0.833891922,1.451946576
1.419,3.861196922,0.836957439,1.536289949
1.429,3.893563079,0.839523919,1.633823115
1.439,3.920083366,0.837527768,1.751034024
1.449,3.94710269,0.819918868,1.877513436
1.459,3.979183682,0.781778133,2.001996555
1.469,4.011122092,0.741641247,2.119136168
1.479,4.042133718,0.711413823,2.244403546
1.489,4.072503724,0.689883913,2.378440352
1.499,4.104513425,0.674128581,2.496150335
1.509,4.133600191,0.6635775,2.59760479
1.519,4.160833389,0.658658414,2.692143516
1.529,4.19155985,0.657589048,2.784614653
1.539,4.225351829,0.658587123,2.855696938
1.549,4.255507961,0.661723931,2.935263468
1.559,4.282313412,0.665930106,3.029944786
1.569,4.311257596,0.671276938,3.140239967
1.579,4.346261523,0.67926154,3.255311991
1.589,4.377914769,0.686960978,3.365678468
1.598,4.406074751,0.691309735,3.470982916
1.608,4.437514123,0.68902842,3.577214215
1.619,4.472161595,0.68710356,3.684087179
1.628,4.503743549,0.68574903,3.791387921
1.638,4.531048038,0.683752879,3.895622927
1.648,4.557140578,0.681756728,4.00306626
1.658,4.588722533,0.681257691,4.121132724
1.668,4.620019323,0.679831869,4.245330658
1.678,4.652670644,0.675839568,4.373093401
1.688,4.685321965,0.675126657,4.49757652
1.698,4.719042652,0.678976376,4.611579102
1.708,4.750909771,0.684608372,4.721517802
1.718,4.775077452,0.688101636,4.842578705
1.728,4.797961893,0.688743256,4.975617365
1.738,4.827191241,0.690525533,5.104093069
1.748,4.858131576,0.697013022,5.233353032
1.758,4.886505431,0.701504361,5.372237978
1.768,4.914166375,0.70079145,5.512905329
1.778,4.946603823,0.695801074,5.637887521
1.788,4.976332209,0.692592975,5.750464179
1.798,5.006060595,0.695872365,5.86168621
1.808,5.035788981,0.700720159,5.966990659
1.818,5.0676561,0.70663732,6.051904402
1.828,5.093534767,0.715976453,6.110795041
1.838,5.118201485,0.72552946,6.150221825
1.848,5.145648556,0.73529634,6.214174493
1.858,5.176375018,0.750053596,6.308356738
1.868,5.204392417,0.769587356,6.403679722
1.878,5.229629465,0.787552711,6.500000853
1.888,5.256862662,0.801882221,6.617853428
1.898,5.290084312,0.810080697,6.744760617
1.908,5.318743332,0.81941983,6.87009929
1.918,5.343909088,0.828259926,6.983103725
1.928,5.369859046,0.832822556,7.081278556
1.938,5.399017103,0.836886148,7.143163635
1.948,5.422115417,0.84223298,7.148011775
1.958,5.443859201,0.845013333,7.109369249
1.968,5.469737868,0.849433381,7.0022111
1.978,5.499109798,0.858915096,6.44303521
1.988,5.528410438,0.868753267,5.515757176
1.998,5.551936499,0.872531695,5.08134959
2.008,5.57610418,0.87217524,5.126052291
2.018,5.600699607,0.873458479,5.213960473
2.028,5.623298884,0.8780924,5.320762141
2.038,5.645969451,0.87937564,5.508627559
2.048,5.66999455,0.878591438,5.485171117
2.058,5.696015799,0.879446931,5.338015815
2.068,5.719470569,0.879803387,5.339798219
2.078,5.741285644,0.883581815,5.507415524
2.088,5.766166235,0.893919023,5.700913339
2.098,5.795039128,0.909888228,5.879225069
2.108,5.819349391,0.927354546,6.005276704
2.118,5.843944818,0.945605066,6.165764391
2.128,5.867328297,0.960077158,6.355626101
2.138,5.891995015,0.975333452,6.541138745
2.148,5.910815864,0.99151653,6.701127358
2.158,5.92749798,1.006701533,6.823400296
2.168,5.939403593,1.019462639,6.91016774
2.178,5.955301507,1.027946279,6.932412146
2.188,5.968062612,1.03386344,6.942750091
2.198,5.980110807,1.041848042,6.954585256
2.208,5.99329966,1.05539335,7.002567581
2.218,6.010053067,1.069366404,7.052973975
2.228,6.018964453,1.08405237,7.075289678
2.238,6.023170628,1.094959907,7.066377656
2.248,6.029871991,1.103015801,7.00891294
2.258,6.04156373,1.111784605,6.924284382
2.268,6.053754507,1.123761509,6.902253864
2.278,6.066586904,1.133171933,6.942179721
2.288,6.084338386,1.134669046,7.007700905
2.298,6.105297968,1.136451324,7.085984104
2.308,6.120411679,1.141156536,7.164908968
2.318,6.137592833,1.146432077,7.249038453
2.328,6.159051452,1.145006255,7.304792061
2.338,6.184644955,1.146788532,7.313205009
2.348,6.207030358,1.15120858,7.316698522
2.358,6.226492827,1.15641283,7.35548364
2.368,6.244030436,1.162686446,7.376943788
2.378,6.264419689,1.170599757,7.365465104
2.388,6.280246311,1.180651802,7.32660869
2.398,6.292365797,1.191915794,7.314630932
2.408,6.305055612,1.201183637,7.306217984
2.418,6.324304207,1.209168239,7.252460669
2.428,6.345691535,1.221359016,7.213390366
2.438,6.367435319,1.231197187,7.194853361
2.448,6.388680065,1.237470803,7.20939778
2.458,6.412419999,1.243815711,7.271496747
2.468,6.435161858,1.252513224,7.359262337
2.478,6.455907566,1.261994939,7.451163105
2.488,6.478364261,1.26983696,7.530658339
2.498,6.504314219,1.274684754,7.553900891
2.508,6.527911571,1.279033511,7.52559631
2.518,6.547017584,1.284309052,7.476901024
2.528,6.567692001,1.284380343,7.398118752
2.538,6.594568743,1.283667432,7.21816721
2.548,6.616241236,1.285378418,6.971482449
2.558,6.633422389,1.284522925,6.744831913
2.568,6.651672909,1.281243535,6.604592339
2.578,6.672703782,1.277750271,6.548553547
2.588,6.690241391,1.275967994,6.501854553
2.598,6.707850291,1.276181867,6.457579629
2.608,6.727526633,1.277607689,6.445673168
2.618,6.747131684,1.284522925,6.459718515
2.628,6.764740584,1.299707928,6.491873089
2.638,6.785628874,1.316746499,6.53564894
2.648,6.808513315,1.331361174,6.587837739
2.658,6.832181958,1.350110731,6.650435779
2.668,6.851359262,1.371284186,6.730216197
2.678,6.870821731,1.390390199,6.81755401
2.688,6.893278426,1.406929733,6.915443656
2.698,6.919584839,1.425821873,7.024455506
2.708,6.942611862,1.447209201,7.143163635
2.718,6.965068557,1.467313289,7.21816721
2.728,6.987026214,1.484850898,7.165194153
2.738,7.011692932,1.502174634,7.124412741
2.748,7.033650589,1.520425154,7.180308941
2.758,7.05461017,1.536323068,7.238700508
2.768,7.076425245,1.550866451,7.229859782
2.778,7.102232621,1.565766289,7.218095913
2.788,7.126756757,1.583945518,7.242051428
2.798,7.146860846,1.600199888,7.272067117
2.808,7.167820427,1.611392589,7.290105049
2.818,7.194412005,1.622585291,7.31598556
2.828,7.219577761,1.638411914,7.342935513
2.838,7.239396685,1.652313677,7.357194748
2.848,7.261639506,1.661153773,7.361116038
2.858,7.288017211,1.670279033,7.385285441
2.868,7.311186816,1.683539176,7.447170519
2.878,7.32965121,1.697654813,7.487738042
2.888,7.349113678,1.708134603,7.467917706
2.898,7.372924903,1.718186648,7.460360311
2.908,7.394098358,1.733514233,7.495366733
2.918,7.414986649,1.744706934,7.551334229
2.928,7.43722947,1.754758979,7.615643377
2.938,7.461539733,1.766379427,7.662057187
2.948,7.482285441,1.781992176,7.676173829
2.958,7.504171807,1.795822649,7.611650792
2.968,7.526913666,1.804734035,7.519108358
2.978,7.555073648,1.817352559,7.479325094
2.988,7.579740366,1.833606928,7.493299144
2.998,7.60476354,1.849219678,7.538287029
3.008,7.630642207,1.861909492,7.589406386
3.018,7.660014138,1.874242852,7.606303579
3.028,7.685037311,1.888215906,7.584273061
3.038,7.705854311,1.901262176,7.56267032
3.048,7.726457437,1.914237155,7.568516607
3.058,7.748129929,1.928067627,7.603309139
3.068,7.768020144,1.941898099,7.667618288
3.078,7.787482613,1.954017585,7.72608115
3.088,7.808941232,1.961859606,7.756239432
3.098,7.834178279,1.970984866,7.773564402
3.108,7.858060796,1.98167853,7.778555134
3.118,7.878806504,1.989877005,7.750393146
3.128,7.899053175,1.99080379,7.739770016
3.138,7.924218931,1.993013814,7.769144039
3.148,7.947816283,1.998075481,7.810923597
3.158,7.969916522,1.999715176,7.817411549
3.168,7.993727747,1.998075481,7.769286632
3.178,8.02324226,2.001640036,7.70205434
3.188,8.047766396,2.010337549,7.671753466
3.198,8.067442738,2.018678607,7.669329396
3.208,8.090327179,2.024880932,7.675746052
3.218,8.118201996,2.034433939,7.686440478
3.228,8.142084513,2.049904106,7.70205434
3.238,8.161974728,2.065302983,7.73969872
3.248,8.182649145,2.075426318,7.812848594
3.258,8.203608727,2.088543879,7.902467884
3.268,8.221787955,2.10558245,8.009839921
3.278,8.235832301,2.122264566,8.125838796
3.288,8.252585708,2.132815648,8.227079362
3.298,8.270551063,2.143937059,8.29680702
3.308,8.285522193,2.156056545,8.32960326
3.318,8.299566539,2.1668215,8.331029184
3.328,8.317460603,2.173308989,8.349067116
3.338,8.337921147,2.183646198,8.419079958
3.348,8.35638554,2.20004315,8.517326085
3.358,8.375420262,2.215655899,8.620562945
3.368,8.395381768,2.228844751,8.733709972
3.378,8.42026236,2.244600083,8.849566254
3.388,8.443574548,2.263848678,8.963996613
3.398,8.46588866,2.282526945,9.0685881
3.408,8.487775026,2.299494225,9.157494428
3.418,8.513653693,2.318956694,9.190148076
3.428,8.539389778,2.344193741,9.190718445
3.438,8.561204852,2.367862384,9.19620825
3.448,8.583590256,2.385970322,9.197063805
3.458,8.609468923,2.40151178,9.159989794
3.468,8.630499795,2.419904882,9.071226058
3.478,8.646611582,2.438297984,8.943463315
3.488,8.662509496,2.453482987,8.799231156
3.498,8.68033227,2.466315384,8.684800797
3.508,8.6920953,2.484494613,8.649295303
3.518,8.702646382,2.501105438,8.654642516
3.528,8.714338121,2.513581379,8.65549807
3.538,8.732873806,2.528766382,8.659918433
3.548,8.746918151,2.54751594,8.65214715
3.558,8.760748623,2.563699018,8.6120787
3.568,8.775363297,2.573038151,8.581064864
3.578,8.795823841,2.581949538,8.572366731
3.588,8.811579173,2.594924517,8.574291728
3.598,8.826906758,2.608113369,8.578284314
3.608,8.841806597,2.616311845,8.568445442
3.618,8.862837469,2.629714571,8.532084393
3.628,8.880161205,2.645541194,8.442821584
3.638,8.894989753,2.659442957,8.274063541
3.648,8.907964732,2.666500775,8.067875007
3.658,8.924575556,2.675626035,7.773920883
3.668,8.937336662,2.690811038,7.373093795
3.678,8.949741312,2.705853459,6.659632985
3.688,8.960791432,2.71505001,5.69250039
3.698,8.974764486,2.72417527,5.025524686
3.708,8.987454301,2.738576071,4.739555734
3.718,8.998433129,2.750838139,4.621061493
3.728,9.007273225,2.761246639,4.562741223
3.738,9.021388862,2.775077111,4.480180254
3.748,9.035433207,2.791260189,4.32988792
3.758,9.048907224,2.805803572,4.152146559
3.768,9.060242508,2.816140781,3.951733015
3.778,9.077566243,2.827903811,3.678739966
3.788,9.090541222,2.839809424,3.279695283
3.798,9.098383243,2.852214074,2.992656888
3.808,9.106225263,2.859842221,2.870455246
3.818,9.1203409,2.873102364,2.786824834
3.828,9.129893906,2.893135162,2.664480601
3.838,9.132317803,2.914665072,2.596464051
3.848,9.136310104,2.931133315,2.599601083
3.858,9.144437289,2.950524492,2.639812124
3.868,9.151708981,2.970771163,2.685013899
3.878,9.15299222,2.990447505,2.739626767
3.888,9.155130953,3.004349268,2.755953591
3.898,9.162687809,3.018037158,2.600171452
3.908,9.168319806,3.036929298,2.332739505
3.918,9.17252598,3.053896578,2.119991723
3.928,9.180082836,3.063663458,2.007486361
3.938,9.19405589,3.075711653,1.940967031
3.948,9.203537606,3.092393769,1.892414336
3.958,9.208741856,3.109361049,1.841081091
3.968,9.215158054,3.121551826,1.69856004
3.978,9.226422047,3.137521031,1.533438102
3.988,9.23447794,3.155628969,1.43062902
3.998,9.237400875,3.171883338,1.367603202
4.008,9.240680266,3.181864091,1.353985633
4.018,9.239896064,3.196051019,1.339441214
4.028,9.235832471,3.213588628,1.264508935
4.038,9.227420122,3.227846846,1.19734794
4.048,9.218936482,3.23918213,1.170112801
4.058,9.214445143,3.25087387,1.17275076
4.068,9.207316034,3.265345962,1.184158148
4.078,9.197691736,3.279319016,1.190859988
4.088,9.188851641,3.288159112,1.170897059
4.098,9.189778425,3.296072423,1.139384151
4.108,9.187425819,3.310330642,1.135748046
4.118,9.18165124,3.324232405,1.160202633
4.128,9.177801521,3.334141867,1.184086851
4.138,9.180867038,3.346475226,1.201411822
4.148,9.180795747,3.363299924,1.221873823
4.158,9.177516357,3.381621735,1.251960809
4.168,9.173025018,3.392457982,1.296307029
4.178,9.172026942,3.403793265,1.353557856
4.188,9.167535604,3.419548597,1.404035547
4.198,9.156699357,3.434448436,1.394267971
4.208,9.144579871,3.443930151,1.360972658
4.218,9.137593344,3.454695106,1.356980072
4.228,9.127256136,3.470165274,1.34771157
4.238,9.115421814,3.483354126,1.337159736
4.248,9.105726225,3.490198071,1.336446774
4.258,9.104300403,3.50253143,1.339156029
4.268,9.098597116,3.520069039,1.345216204
4.278,9.090184767,3.535681789,1.355482853
4.288,9.085622137,3.544807049,1.364893948
4.298,9.085265681,3.557069117,1.36503654
4.308,9.08127338,3.57745837,1.346428239
4.318,9.077138497,3.594354359,1.328746788
4.328,9.072575867,3.606046098,1.322757909
4.338,9.069367768,3.621088519,1.307500528
4.348,9.064733846,3.638269672,1.276415396
4.358,9.057961193,3.651886271,1.253315436
4.368,9.050261754,3.659514418,1.240553421
4.378,9.046126871,3.669709045,1.236275651
4.388,9.040708748,3.68503663,1.243120083
4.398,9.034791587,3.699080975,1.251105255
4.408,9.028090224,3.706423958,1.226721963
4.418,9.025737618,3.718329571,1.121773996
4.428,9.021531444,3.731447132,1.042350058
4.438,9.011764564,3.740501101,1.02516768
4.448,9.000215407,3.740714974,1.029873228
4.458,8.989949489,3.744635984,1.013189923
4.468,8.977188384,3.754830611,0.977684429
4.478,8.963999531,3.76716397,0.948167813
4.488,8.950169059,3.776075356,0.931627101
4.498,8.937621827,3.786982894,0.914943796
