t,vf,vb
6,0.341466957,0.184440228
12,0.334820825,0.184068627
18,0.33124183,0.184068627
24,0.327134725,0.184068627
30,0.32054561,0.191421569
36,0.32054561,0.191018343
42,0.322058824,0.191018343
48,0.324078431,0.191018343
54,0.273464052,0.167769608
60,0.273464052,0.167769608
66,0.273464052,0.167488931
72,0.273464052,0.167488931
78,0.278025693,0.149859944
84,0.278025693,0.149859944
90,0.278025693,0.149455338
96,0.279551821,0.149455338
102,0.271288515,0.145824256
108,0.268409586,0.145824256
114,0.268409586,0.145824256
120,0.264555053,0.145824256
126,0.235699797,0.117376606
132,0.235854342,0.117376606
138,0.236310821,0.117376606
144,0.236500754,0.117376606
150,0.250980392,0.128685548
156,0.250980392,0.128851541
162,0.246078431,0.128851541
168,0.246078431,0.128851541
174,0.244895199,0.103529412
180,0.245098039,0.103529412
186,0.245098039,0.103529412
192,0.245098039,0.103529412
198,0.320313725,0.138001867
204,0.320313725,0.138001867
210,0.317973856,0.138001867
216,0.317973856,0.138001867
222,0.366058147,0.117647059
228,0.366058147,0.117647059
234,0.366058147,0.117647059
240,0.366946779,0.117647059
246,0.413915244,NaN
252,0.413915244,NaN
258,0.413915244,NaN
264,0.416078431,NaN
270,0.34494721,0.120343137
276,0.34494721,0.120343137
282,0.34494721,0.120343137
288,0.344081336,0.120343137
294,0.26828143,0.135143288
300,0.26828143,0.135409458
306,0.271413829,0.134158927
312,0.295781343,0.131194296
318,0.286492375,0.112708787
324,0.289164087,0.113580247
330,0.293930906,0.119680465
336,0.298721228,0.126951173
342,0.270588235,0.123856209
348,0.275263952,0.125278219
354,0.275263952,0.125278219
360,0.277559913,0.125278219
366,0.296296296,0.119607843
372,0.296296296,0.121232493
378,0.296296296,0.11788473
384,0.296296296,0.114484503
390,0.26,0.155918664
396,0.26,0.162574595
402,0.26,0.174244833
408,0.26,0.181740196
414,0.264215686,0.16684492
420,0.264215686,0.167957915
426,0.264215686,0.17167756
432,0.264215686,0.173856209
438,0.268627451,0.165039633
444,0.268627451,0.171802054
450,0.268627451,0.180710122
456,0.268627451,0.186851211
462,0.254248366,0.18504332
468,0.254248366,0.185520362
474,0.254248366,0.185882353
480,0.254248366,0.185014006
486,0.28627451,0.160130719
492,0.28627451,0.162480127
498,0.28627451,0.163042187
504,0.286601307,0.162745098
510,0.257568627,0.130392157
516,0.257164404,0.130481283
522,0.257225853,0.131309298
528,0.257471264,0.131710615
534,0.23083779,0.146405229
540,0.232627451,0.149439776
546,0.235148874,0.150907771
552,0.236511156,0.154196078
558,0.264052288,0.148406863
564,0.275599129,0.149778621
570,0.292753623,0.149778621
576,0.31142664,0.150980392
582,NaN,0.166176471
588,0.250980392,0.165464896
594,0.29254902,0.164313725
600,0.303267974,0.164313725
606,0.248366013,0.112563544
612,0.262388592,0.112066365
618,0.270915033,0.112066365
624,0.314648212,0.111529412
630,0.397504456,0.122794118
636,0.401633987,0.122794118
642,0.404524887,0.122794118
648,0.406100218,0.123339658
654,0.241568627,0.101960784
660,0.241568627,0.101960784
666,0.240522876,0.101960784
672,0.240522876,0.101960784
678,0.378352941,0.110364146
684,0.385677749,0.110364146
690,0.398555212,0.110364146
696,0.406372549,0.110364146
