Value,Time
9,1351
8,3187
0,5161
0,7389
0,9176
12,11170
35,13166
42,15170
51,17334
75,19174
51,21168
42,23179
30,25166
0,27343
0,29198
0,31179
13,33165
0,35165
0,37273
0,39181
0,41166
0,43162
0,45161
0,47336
0,49168
0,51161
0,53158
16,55177
17,57339
8,59190
36,61168
90,63177
100,65162
41,67261
0,69171
0,71177
0,73165
0,75159
30,77262
48,79178
12,81168
0,83159
0,85159
0,87289
12,89172
42,91161
2,93159
0,95176
0,97260
24,99169
54,101162
60,103173
12,105160
0,107255
0,109167
0,111175
0,113162
6,115184
33,117260
32,119176
0,121171
0,123166
0,125157
8,127278
23,129174
18,131163
8,133164
16,135177
24,137325
24,139178
17,141163
0,143176
0,145162
8,147317
48,149171
42,151172
0,153163
0,155161
0,157260
0,159175
39,161166
49,163162
22,165157
0,167278
0,169170
0,171165
23,173161
63,175171
60,177257
36,179166
2,181163
30,183171
64,185162
59,187255
9,189167
0,191174
0,193162
0,195162
0,197260
10,199181
20,201157
15,203170
0,205164
0,207278
0,209172
37,211164
57,213164
54,215170
43,217256
57,219167
21,221170
21,223175
4,225164
0,227256
0,229168
0,231176
0,233165
0,235167
0,237259
2,239182
11,241164
12,243165
0,245158
0,247364
0,249170
0,251165
0,253154
23,255173
44,257256
26,259170
18,261165
28,263175
13,265158
18,267250
15,269161
6,271178
0,273166
9,275153
11,277260
16,279175
4,281159
0,283174
1,285158
0,287264
0,289170
0,291158
0,293164
0,295173
19,297246
29,299162
29,301159
28,303174
32,305163
20,307242
17,309160
0,311178
0,313161
0,315162
48,317254
71,319178
53,321163
0,323163
0,325156
0,327264
0,329172
0,331158
17,333159
35,335178
31,337337
19,339167
6,341160
42,343170
70,345163
46,347303
48,349176
0,351177
0,353161
13,355155
41,357263
25,359175
0,361162
0,363160
0,365159
0,367259
0,369167
0,371163
0,373161
0,375171
17,377260
8,379165
5,381161
6,383174
10,385160
3,387255
12,389169
23,391171
13,393163
34,395157
45,397254
37,399176
16,401159
1,403159
22,405160
40,407280
30,409166
0,411162
0,413159
0,415172
0,417248
0,419167
35,421163
53,423177
24,425160
0,427254
0,429167
11,431177
65,433163
76,435165
48,437262
5,439174
10,441158
41,443191
50,445159
13,447322
0,449175
0,451160
0,453158
0,455173
0,457258
0,459168
0,461160
0,463171
0,465160
0,467252
0,469163
7,471173
25,473163
30,475157
44,477261
63,479175
31,481166
46,483161
30,485161
0,487264
0,489168
0,491156
43,493160
58,495168
32,497254
0,499167
0,501162
0,503167
0,505158
0,507258
6,509166
3,511174
0,513163
0,515154
18,517253
71,519174
92,521166
16,523161
3,525155
0,527272
25,529168
55,531146
50,533161
31,535178
0,537322
0,539177
0,541166
0,543175
0,545165
0,547315
0,549168
0,551173
0,553155
0,555157
46,557254
64,559170
56,561165
41,563159
44,565144
26,567262
11,569165
5,571150
0,573147
16,575168
32,577257
26,579166
16,581150
0,583174
0,585145
0,587268
0,589168
0,591172
0,593164
0,595149
10,597256
19,599177
12,601148
18,603157
24,605160
43,607276
45,609166
18,611148
0,613157
0,615168
0,617255
14,619154
26,621149
39,623173
7,625159
0,627254
0,629153
0,631161
11,633155
19,635150
0,637256
37,639216
0,641158
6,643150
21,645160
7,647304
0,649157
0,651147
0,653159
0,655160
21,657257
30,659158
19,661160
16,663159
12,665158
0,667250
0,669152
0,671161
0,673164
12,675160
29,677474
23,679162
34,681167
39,683160
18,685160
0,687305
0,689158
0,691164
0,693159
51,695158
77,697258
37,699165
0,701158
0,703172
0,705163
0,707255
11,709167
31,711162
18,713161
4,715162
0,717251
19,719174
67,721154
82,723163
48,725155
0,727279
0,729157
0,731157
28,733161
42,735172
0,737331
0,739160
0,741161
0,743170
0,745163
0,747305
0,749168
0,751174
0,753164
0,755159
10,757262
38,759177
52,761167
44,763162
31,765159
0,767263
23,769167
11,771165
7,773164
0,775171
0,777260
24,779167
79,781157
72,783174
11,785157
0,787254
0,789166
0,791172
0,793167
35,795170
47,797255
40,799175
10,801160
0,803162
25,805161
66,807263
63,809169
34,811163
0,813158
13,815177
78,817258
103,819169
66,821164
0,823171
0,825164
0,827259
0,829166
0,831171
0,833162
0,835164
0,837265
0,839178
0,841162
34,843162
61,845159
48,847362
26,849161
1,851164
10,853162
21,855171
28,857256
13,859167
29,861163
60,863173
75,865162
0,867254
0,869165
0,871175
0,873165
0,875158
27,877252
16,879175
0,881183
0,883169
0,885159
15,887284
39,889168
52,891164
0,893166
0,895171
52,897258
100,899168
105,901161
55,903170
0,905161
0,907260
0,909170
0,911174
0,913161
0,915160
0,917255
0,919179
0,921168
9,923156
40,925163
38,927277
21,929170
1,931161
3,933162
5,935178
22,937469
29,939192
23,941168
11,943180
0,945162
0,947317
0,949171
2,951174
10,953166
11,955162
15,957257
13,959184
8,961171
5,963168
0,965162
0,967280
0,969171
22,971169
61,973167
48,975175
0,977262
0,979174
0,981166
0,983178
24,985166
41,987256
9,989171
0,991177
0,993168
3,995175
64,997273
79,999176
0,1002833
0,1003183
0,1005166
5,1007305
32,1009171
41,1011169
0,1013160
0,1015170
0,1017263
0,1019170
0,1021165
15,1023178
3,1025161
0,1027265
0,1029180
0,1031179
15,1033168
66,1035169
88,1037262
65,1039183
38,1041169
15,1043162
0,1045165
0,1047383
0,1049171
0,1051176
0,1053168
4,1055172
0,1057253
2,1059171
3,1061165
14,1063183
5,1065163
0,1067262
0,1069168
0,1071179
0,1073170
4,1075166
26,1077266
18,1079182
48,1081168
69,1083168
43,1085158
0,1087275
0,1089176
0,1091163
0,1093165
16,1095177
48,1097287
27,1099176
3,1101165
0,1103175
0,1105163
20,1107259
28,1109176
0,1111177
0,1113166
0,1115163
22,1117262
60,1119182
57,1121170
31,1123166
0,1125162
0,1127277
0,1129174
0,1131165
0,1133165
15,1135182
28,1137323
0,1139180
0,1141168
2,1143179
19,1145163
23,1147311
20,1149161
10,1151175
11,1153167
29,1155167
29,1157262
19,1159179
0,1161168
0,1163166
11,1165165
20,1167284
7,1169175
0,1171182
0,1173169
0,1175180
0,1177260
28,1179169
42,1181168
26,1183174
1,1185162
0,1187257
0,1189168
25,1191176
36,1193169
51,1195167
0,1197264
0,1199180
25,1201170
48,1203164
35,1205163
0,1207282
0,1209173
0,1211167
0,1213167
0,1215173
2,1217261
12,1219171
14,1221167
0,1223183
0,1225169
0,1227262
0,1229174
16,1231180
20,1233168
28,1235166
35,1237252
43,1239179
43,1241166
31,1243166
6,1245171
0,1247353
0,1249176
22,1251163
0,1253164
18,1255176
0,1257265
0,1259170
0,1261166
5,1263177
0,1265166
0,1267256
0,1269170
10,1271180
16,1273169
34,1275164
5,1277262
0,1279192
30,1281170
94,1283165
101,1285164
31,1287275
0,1289169
0,1291163
0,1293165
0,1295170
47,1297258
71,1299170
57,1301163
23,1303177
0,1305166
0,1307279
50,1309171
90,1311179
74,1313172
55,1315168
2,1317258
23,1319181
55,1321168
77,1323165
52,1325165
0,1327280
0,1329174
0,1331161
0,1333159
1,1335178
28,1337325
0,1339181
3,1341171
0,1343180
0,1345161
15,1347320
36,1349176
31,1351179
20,1353173
11,1355162
37,1357264
32,1359183
21,1361165
9,1363165
8,1365163
0,1367278
0,1369173
0,1371162
0,1373163
0,1375175
6,1377252
7,1379172
8,1381164
1,1383180
2,1385160
0,1387267
0,1389176
0,1391176
0,1393166
0,1395160
63,1397249
115,1399185
99,1401167
25,1403161
0,1405163
0,1407280
0,1409175
15,1411164
37,1413161
36,1415171
22,1417248
0,1419170
0,1421165
33,1423181
71,1425164
50,1427249
0,1429169
0,1431177
0,1433168
47,1435156
87,1437244
82,1439185
1,1441164
0,1443165
0,1445161
0,1447364
0,1449175
8,1451163
10,1453164
0,1455175
0,1457265
5,1459169
50,1461176
78,1463181
58,1465162
14,1467262
0,1469168
0,1471174
0,1473156
0,1475161
6,1477249
13,1479186
0,1481166
28,1483164
0,1485161
0,1487265
0,1489170
0,1491162
0,1493160
4,1495185
17,1497260
21,1499171
10,1501165
12,1503172
0,1505164
0,1507263
0,1509172
15,1511176
0,1513165
0,1515160
0,1517262
1,1519179
0,1521166
17,1523168
9,1525163
1,1527269
0,1529172
0,1531166
0,1533162
4,1535178
33,1537318
51,1539176
0,1541164
0,1543178
0,1545165
0,1547301
0,1549172
0,1551175
0,1553168
2,1555162
21,1557265
35,1559178
32,1561168
22,1563175
0,1565168
0,1567269
9,1569171
24,1571166
9,1573166
0,1575172
0,1577263
0,1579173
0,1581163
19,1583177
24,1585158
9,1587269
0,1589171
0,1591175
0,1593164
25,1595161
54,1597262
63,1599180
10,1601165
0,1603168
0,1605164
0,1607278
0,1609169
11,1611166
0,1613164
7,1615177
19,1617263
22,1619167
17,1621148
0,1623177
0,1625167
0,1627263
0,1629171
0,1631179
0,1633169
0,1635151
4,1637260
14,1639182
24,1641166
44,1643162
15,1645165
5,1647364
18,1649169
14,1651151
0,1653148
15,1655171
9,1657262
25,1659175
19,1661157
8,1663173
0,1665155
0,1667260
0,1669171
0,1671175
0,1673155
10,1675146
26,1677488
36,1679183
49,1681153
63,1683152
41,1685149
0,1687274
3,1689159
0,1691151
25,1693149
87,1695155
76,1697266
7,1699154
0,1701152
0,1703163
0,1705148
0,1707260
8,1709157
30,1711269
19,1713185
4,1715161
17,1717264
47,1719182
96,1721155
99,1723151
59,1725146
0,1727281
0,1729162
0,1731151
7,1733148
23,1735164
4,1737320
0,1739159
0,1741167
0,1743175
0,1745164
0,1747312
0,1749158
0,1751161
0,1753154
0,1755164
16,1757263
17,1759173
17,1761153
26,1763151
21,1765160
9,1767268
34,1769159
22,1771163
22,1773166
37,1775158
27,1777267
29,1779160
0,1781163
27,1783162
50,1785172
31,1787262
0,1789171
0,1791173
0,1793167
0,1795161
20,1797261
53,1799178
80,1801168
54,1803165
11,1805164
0,1807280
19,1809170
89,1811166
102,1813159
59,1815162
19,1817256
7,1819175
46,1821168
73,1823163
70,1825168
0,1827263
0,1829171
0,1831163
0,1833167
0,1835169
1,1837273
2,1839168
0,1841162
1,1843168
0,1845162
0,1847311
21,1849175
37,1851165
31,1853168
36,1855178
72,1857265
67,1859170
49,1861164
31,1863175
0,1865165
0,1867259
0,1869256
40,1871178
35,1873168
8,1875165
0,1877267
0,1879179
0,1881165
0,1883162
0,1885162
0,1887275
0,1889173
0,1891162
0,1893175
17,1895175
70,1897263
88,1899171
48,1901169
11,1903176
13,1905164
38,1907263
47,1909170
43,1911178
19,1913168
0,1915165
0,1917262
0,1919178
0,1921164
0,1923165
0,1925162
0,1927288
0,1929172
0,1931161
0,1933162
33,1935177
56,1937470
51,1939182
37,1941161
59,1943178
36,1945162
13,1947305
0,1949169
0,1951173
0,1953166
32,1955160
59,1957260
27,1959174
0,1961164
0,1963165
0,1965161
0,1967280
0,1969168
0,1971160
0,1973164
0,1975171
0,1977259
13,1979168
47,1981163
55,1983170
26,1985161
0,1987258
17,1989169
16,1991175
40,1993169
43,1995157
28,1997254
19,1999178
0,2001237
0,2003175
0,2005161
0,2007303
0,2009171
0,2011160
0,2013164
0,2015174
0,2017266
5,2019170
24,2021167
29,2023177
21,2025167
2,2027260
15,2029167
9,2031175
21,2033162
20,2035165
0,2037263
2,2039181
34,2041164
62,2043162
40,2045161
0,2047379
0,2049168
0,2051166
0,2053161
0,2055171
35,2057264
46,2059167
28,2061162
7,2063174
0,2065163
12,2067262
51,2069167
56,2071177
44,2073162
0,2075176
20,2077262
48,2079178
61,2081165
55,2083160
7,2085157
0,2087288
0,2089170
0,2091162
0,2093159
0,2095172
4,2097261
17,2099169
0,2101165
0,2103174
0,2105161
0,2107253
14,2109163
15,2111180
17,2113166
40,2115162
36,2117254
44,2119172
35,2121164
13,2123161
0,2125160
0,2127276
29,2129170
33,2131163
0,2133161
0,2135175
0,2137321
0,2139176
0,2141163
7,2143169
13,2145167
0,2147303
0,2149173
0,2151176
0,2153162
49,2155160
74,2157257
57,2159176
30,2161168
12,2163160
26,2165160
31,2167273
38,2169166
0,2171162
0,2173161
0,2175176
0,2177259
0,2179168
0,2181162
4,2183179
0,2185163
0,2187258
0,2189168
0,2191174
0,2193165
31,2195163
42,2197257
43,2199179
37,2201165
16,2203161
29,2205155
8,2207278
0,2209172
0,2211161
0,2213159
41,2215170
68,2217255
39,2219170
0,2221163
0,2223173
0,2225164
0,2227258
0,2229168
10,2231176
4,2233164
4,2235166
0,2237257
13,2239183
55,2241165
77,2243162
43,2245162
0,2247348
7,2249169
13,2251165
41,2253177
52,2255178
24,2257260
11,2259168
0,2261162
0,2263173
0,2265166
0,2267254
0,2269166
0,2271177
0,2273162
0,2275158
0,2277260
20,2279180
39,2281166
39,2283161
26,2285157
6,2287273
6,2289166
16,2291158
17,2293161
15,2295173
19,2297260
23,2299173
31,2301166
14,2303171
0,2305163
0,2307257
0,2309167
0,2311175
0,2313165
0,2315164
5,2317252
12,2319181
24,2321163
41,2323163
30,2325162
0,2327275
0,2329168
0,2331174
57,2333161
110,2335177
85,2337323
0,2339171
0,2341164
0,2343173
0,2345165
0,2347298
26,2349176
21,2351178
0,2353163
0,2355155
0,2357257
45,2359177
90,2361167
55,2363158
16,2365163
0,2367279
0,2369168
19,2371164
45,2373156
36,2375176
0,2377240
0,2379167
0,2381159
0,2383171
0,2385166
3,2387250
0,2389169
0,2391174
0,2393158
0,2395160
24,2397242
50,2399183
51,2401168
40,2403158
15,2405158
6,2407277
4,2409169
5,2411163
0,2413159
0,2415176
10,2417254
44,2419162
66,2421163
48,2423175
0,2425161
0,2427254
0,2429165
0,2431176
6,2433154
32,2435167
32,2437253
21,2439176
0,2441164
0,2443158
28,2445159
49,2447306
0,2449174
0,2451164
0,2453158
27,2455178
76,2457246
80,2459165
35,2461161
0,2463170
0,2465164
0,2467256
0,2469165
0,2471178
0,2473161
0,2475156
0,2477245
0,2479178
0,2481168
35,2483158
48,2485160
35,2487271
19,2489166
22,2491159
23,2493158
19,2495180
21,2497255
5,2499165
10,2501161
12,2503170
10,2505160
0,2507253
0,2509166
0,2511180
0,2513163
0,2515160
5,2517256
0,2519175
5,2521163
6,2523159
8,2525162
1,2527262
0,2529168
0,2531164
17,2533161
83,2535178
91,2537328
41,2539173
0,2541161
0,2543173
0,2545163
0,2547304
17,2549165
31,2551173
14,2553161
0,2555158
0,2557258
3,2559177
54,2561153
67,2563158
61,2565161
0,2567261
0,2569169
7,2571162
37,2573161
41,2575176
42,2577259
0,2579166
0,2581161
0,2583173
0,2585166
3,2587259
17,2589170
16,2591176
0,2593165
0,2595163
8,2597258
37,2599178
53,2601167
42,2603158
20,2605158
0,2607258
0,2609169
8,2611158
2,2613157
0,2615176
4,2617260
25,2619164
17,2621163
0,2623168
0,2625162
0,2627257
0,2629168
0,2631171
2,2633157
4,2635168
13,2637255
22,2639175
22,2641165
19,2643163
15,2645163
0,2647303
4,2649165
20,2651165
21,2653158
0,2655171
0,2657262
0,2659165
0,2661149
1,2663169
0,2665163
0,2667256
0,2669168
13,2671173
30,2673162
38,2675158
14,2677471
0,2679181
0,2681165
25,2683147
90,2685148
82,2687288
19,2689169
0,2691144
0,2693159
0,2695176
6,2697259
61,2699167
67,2701152
53,2703167
18,2705149
0,2707257
17,2709154
84,2711173
105,2713161
84,2715150
0,2717254
0,2719170
1,2721156
29,2723154
21,2725148
17,2727265
0,2729173
0,2731150
0,2733158
0,2735176
6,2737336
9,2739158
7,2741149
21,2743172
3,2745155
0,2747301
15,2749157
27,2751173
32,2753156
33,2755149
10,2757257
29,2759182
41,2761153
24,2763148
9,2765147
0,2767274
0,2769167
14,2771151
57,2773158
53,2775176
0,2777262
0,2779154
0,2781157
0,2783168
0,2785152
18,2787254
38,2789152
16,2791162
0,2793163
0,2795149
33,2797252
92,2799164
102,2801151
8,2803162
14,2805159
8,2807278
56,2809167
79,2811158
43,2813160
13,2815170
0,2817259
0,2819166
0,2821164
0,2823175
0,2825156
0,2827257
0,2829155
0,2831166
0,2833164
34,2835166
76,2837265
74,2839176
49,2841168
27,2843170
0,2845163
16,2847300
11,2849162
7,2851163
7,2853161
8,2855175
1,2857256
0,2859164
0,2861162
0,2863172
0,2865162
0,2867258
0,2869170
0,2871170
0,2873164
11,2875166
14,2877255
0,2879177
0,2881168
0,2883158
67,2885160
88,2887276
57,2889167
0,2891158
0,2893158
0,2895173
0,2897257
37,2899164
59,2901162
24,2903176
0,2905166
0,2907260
0,2909170
36,2911175
56,2913162
0,2915161
16,2917260
0,2919177
16,2921166
52,2923485
49,2925183
0,2927388
0,2929174
0,2931166
0,2933166
0,2935183
23,2937567
19,2939177
0,2941169
0,2943180
0,2945170
13,2947389
49,2949175
63,2951179
45,2953163
24,2955162
17,2957268
4,2959183
6,2961169
0,2963165
0,2965165
0,2967283
5,2969173
14,2971167
0,2973165
0,2975181
0,2977267
0,2979174
1,2981168
27,2983178
12,2985170
