Seconds,      Volts
0,            0
3.702834E-08, 0.09484652
7.405668E-08, 0.1872366
1.11085E-07, 0.2747773
1.481134E-07, 0.3552014
1.851417E-07, 0.426426
2.2217E-07, 0.4866064
2.591984E-07, 0.5341839
2.962267E-07, 0.5679263
3.332551E-07, 0.5869598
3.702834E-07, 0.5907913
4.073117E-07, 0.5793217
4.443401E-07, 0.5528479
4.813684E-07, 0.5120556
5.183967E-07, 0.4580013
5.554251E-07, 0.392085
5.924534E-07, 0.3160141
6.294817E-07, 0.2317585
6.665101E-07, 0.1415004
7.035384E-07, 0.04757757
7.405668E-07, -0.04757759
7.775951E-07, -0.1415004
8.146235E-07, -0.2317585
8.516518E-07, -0.3160141
8.886801E-07, -0.3920851
9.257085E-07, -0.4580014
9.627369E-07, -0.5120556
9.997651E-07, -0.5528478
1.036793E-06, -0.5793217
1.073822E-06, -0.5907913
1.11085E-06, -0.5869598
1.147878E-06, -0.5679264
1.184907E-06, -0.5341839
1.221935E-06, -0.4866063
1.258963E-06, -0.4264261
1.295992E-06, -0.3552014
1.33302E-06, -0.2747772
1.370049E-06, -0.1872364
1.407077E-06, -0.09484658
1.444105E-06, 1.807601E-08
1.481134E-06, 0.09484661
1.518162E-06, 0.1872365
1.55519E-06, 0.2747773
1.592219E-06, 0.3552015
1.629247E-06, 0.4264261
1.666275E-06, 0.4866063
1.703304E-06, 0.5341839
1.740332E-06, 0.5679264
1.77736E-06, 0.5869598
1.814389E-06, 0.5907913
1.851417E-06, 0.5793217
1.888445E-06, 0.5528478
1.925474E-06, 0.5120555
1.962502E-06, 0.4580013
1.99953E-06, 0.3920853
2.036559E-06, 0.3160139
